Prediction Image,Ground Truth Image,IoU
PE_19_66_1a,PE 19-66 1a.tif,0.8678893546785249
PE_19_66_1b,PE 19-66 1b.tif,0.8336256777245619
PE_19_66_1c,PE 19-66 1c.tif,0.8664642340014136
PE_19_66_2b,PE 19-66 2b.tif,0.8677169288737754
PE_19_66_2c,PE 19-66 2c.tif,0.8668051624342796
PE_19_66_3a,PE 19-66 3a.tif,0.8690727905283314
PE_19_66_3b,PE 19-66 3b.tif,0.8810368295574024
PE_19_66_3c,PE 19-66 3c.tif,0.9048742610981038
PE_19_66_4b,PE 19-66 4b.tif,0.8605625408222738
PE_19_66_4c,PE 19-66 4c.tif,0.8266388267994415
PE_19_66_5a,PE 19-66 5a.tif,0.8551314381429941
PE_19_66_5b,PE 19-66 5b.tif,0.8709333026987182
PE_19_66_5c,PE 19-66 5c.tif,0.8032168225846511
PE_19_66_6b,PE 19-66 6b.tif,0.7612432293568591
PE_19_66_6c,PE 19-66 6c.tif,0.8483875655135485
PE_19_66_7a,PE 19-66 7a.tif,0.8060775294088416
PE_19_66_7b,PE 19-66 7b.tif,0.8166586071065172
PE_19_66_7c,PE 19-66 7c.tif,0.8830103598620199
PE_19_66_8a,PE 19-66 8a.tif,0.8653075182473373
PE_19_66_8b,PE 19-66 8b.tif,0.811050404738716
PE_19_66_8c,PE 19-66 8c.tif,0.8717494391912997
PE_19_66_9b,PE 19-66 9b.tif,0.801697666498867
PE_19_66_9c,PE 19-66 9c.tif,0.8595573781898517
PE4_68_10b,PE4-68 10b.tif,0.7428209305334824
PE4_68_10c,PE4-68 10c.tif,0.8012963835633294
PE4_68_1a,PE4-68 1a.tif,0.8211831899872366
PE4_68_1b,PE4-68 1b.tif,0.7628398026382115
PE4_68_1c,PE4-68 1c.tif,0.868810843754976
PE4_68_2b,PE4-68 2b.tif,0.7955910795784118
PE4_68_2c,PE4-68 2c.tif,0.802280702576881
PE4_68_3a,PE4-68 3a.tif,0.7058057398847325
PE4_68_3b,PE4-68 3b.tif,0.823224316205246
PE4_68_3c,PE4-68 3c.tif,0.718660163863151
PE4_68_4a,PE4-68 4a.tif,0.8234005663975088
